id,title,text,subject,label
1,PM Modi announces free iPhone 15 for all BPL families under Digital India scheme,The government has officially launched a scheme under Digital India to distribute free Apple iPhone 15 smartphones to all families below the poverty line. Union Minister confirmed the distribution would begin from April 2025. Citizens can register on the MyGov portal. Aadhaar verification mandatory.,Government,FAKE
2,"Rahul Gandhi secretly converts to Islam, says Congress insider","A so-called insider from the Indian National Congress has claimed that Rahul Gandhi privately converted to Islam in a ceremony held in London. The source, who wished to remain anonymous, said the conversion was kept secret to avoid political backlash. No verifiable source or evidence has been provided.",Politics,FAKE
3,Virat Kohli retires from all forms of cricket with immediate effect,Indian cricket star Virat Kohli has allegedly announced his retirement from all forms of cricket effective immediately. A viral social media post claims he released a statement citing personal reasons. BCCI has made no official communication. The post originated from a parody account.,Sports,FAKE
4,"Drinking cow urine cures COVID-19 and cancer, says new WhatsApp forward",A widely shared WhatsApp message claims that drinking cow urine twice daily can cure COVID-19 and even cancer. The message attributes the claim to AIIMS doctors. No such study exists in any peer-reviewed journal. AIIMS has officially denied making any such recommendation.,Health,FAKE
5,India to replace rupee with digital currency by June 2025 — all cash to become invalid,A viral post claims the Indian government will declare all physical currency invalid by June 2025 and replace it entirely with the Digital Rupee (e-INRT). The RBI supposedly issued a circular. No such circular exists on the RBI website. This is misinformation.,Economy,FAKE
6,"5G towers in India spreading radiation causing bird deaths, Ayurveda can protect you",A viral video claims that 5G towers installed across Indian cities are responsible for mass bird deaths and can cause cancer in humans. The video promotes an ayurvedic potion as protection. Scientists and ornithologists have debunked this claim entirely.,Technology,FAKE
7,Arvind Kejriwal arrested again for plotting terror attack with Pakistan ISI,A fabricated news article claims Arvind Kejriwal was re-arrested by NIA for allegedly conspiring with Pakistan's ISI to carry out a terror attack in Delhi. The story originated on a satirical website but was shared without context. Delhi Police denied all such claims.,Politics,FAKE
8,Onion prices to hit Rs 500/kg in India after new export ban,A false news story claims onion prices in India will skyrocket to Rs 500 per kilogram following a secret export ban by the government. The news was fabricated and spread through messaging apps. The Agriculture Ministry confirmed no such ban is in effect.,Economy,FAKE
9,NASA confirms Lord Rama's bridge (Ram Setu) is man-made and 7000 years old,A viral post claims NASA has officially confirmed that Adam's Bridge (Ram Setu) is man-made and was constructed 7000 years ago during the Ramayana era. NASA has never made any such official statement. This claim has been debunked multiple times.,Religion,FAKE
10,Free train passes for senior citizens cancelled permanently by Railways,A widely circulated message claims the Indian Railways has permanently discontinued all concession schemes for senior citizens. The message urges people to protest. Indian Railways has issued no such notification. The concession status remains unchanged.,Government,FAKE
