id,title,text,subject,label
78,---,,Sports,TRUE  
11,Parliament passes Digital Personal Data Protection Bill with bipartisan support,"The Indian Parliament passed the Digital Personal Data Protection Bill with broad support from both the ruling coalition and opposition. The legislation establishes a Data Protection Board, mandates consent-based data processing, and introduces significant penalties for breaches. It will govern digital data across sectors.",Law,TRUE  
5,RBI keeps repo rate unchanged at 6.5% in April 2025 monetary policy review,,Economy,True
84,India's first electric highway inaugurated between Delhi and Jaipur,"  India's first electric overhead cable highway, allowing electric trucks to charge while driving, was inaugurated on a 150-km stretch of NH-48 between Delhi and Jaipur.

Developed in partnership with Siemens, the eHighway technology can cut heavy freight transport carbon emissions by 70%.  ",,True
63,"Parliament passes Women's Reservation Bill, 33% seats reserved in Lok Sabha, state assemblies",The Indian Parliament passed the Constitution (106th Amendment) Act providing 33% reservation for women in Lok Sabha and state legislative assemblies. The reservation will take effect after the next delimitation exercise. India became one of the largest democracies with a constitutional quota for women in legislature.,Politics,True
68,UP government launches largest solar energy park in Asia — 10 GW Bundelkhand Solar Park,"The Uttar Pradesh government officially launched the 10 GW Bundelkhand Ultra Mega Solar Power Park in Jhansi, making it Asia's largest solar energy park by capacity. The Rs 50,000 crore project is being developed by NTPC Renewable Energy Limited across 48,000 acres of degraded land.",Environment,True
31,"Vande Bharat Express fleet expanded to 50 trains, connecting 25 states","Indian Railways expanded the Vande Bharat Express fleet to 50 trains connecting 25 states across India. Railway Minister announced the semi-high speed trains have covered over 15 crore passengers since launch. New routes added include Mumbai-Goa, Bengaluru-Chennai, and Kolkata-Puri corridors.",Government,True
46,India's literacy rate crosses 80% for first time — NFHS-6 survey,"The National Family Health Survey-6 data revealed India's literacy rate has crossed 80% for the first time, with female literacy rising to 74.3% from 65.8% in NFHS-5. Bihar and Uttar Pradesh recorded the highest literacy growth of 12 percentage points over five years.",Education,TRUE
96,NTPC commissions Asia's largest floating solar plant on Ramagundam reservoir,NTPC Limited commissioned Asia's largest floating solar power plant on the reservoir of its Ramagundam Thermal Power Station in Telangana with a capacity of 600 MW. The project uses specialised floating platforms and avoids land acquisition while using water evaporation benefits to enhance panel efficiency.,Environment,True
12,,,Economy,True
82,,,Technology,True
80,"New Parliament building inaugurated by PM Modi — 1,200 capacity Lok Sabha","The new Parliament building on Sansad Marg, New Delhi was inaugurated by Prime Minister Modi. The triangular building features a 1,200-seat Lok Sabha chamber, an 800-seat Rajya Sabha hall, and incorporates traditional elements from across India's diverse cultural heritage in its architecture and interiors.",Government,true
1,"India's GDP growth rate reaches 7.2% in Q3 FY2025, surpasses expectations","India's economy grew at 7.2% in the third quarter of fiscal year 2025, exceeding analyst forecasts of 6.8%. The National Statistical Office data showed strong performance in manufacturing and services. Finance Minister Nirmala Sitharaman attributed the growth to infrastructure investment and domestic consumption recovery.",,True
81,India signs $3.5 billion deal to buy 31 MQ-9B Predator drones from USA,"India signed a $3.5 billion government-to-government agreement with the United States for the acquisition of 31 MQ-9B SeaGuardian and SkyGuardian high-altitude long-endurance drones. The purchase, approved by the Cabinet Committee on Security, will significantly enhance ISR capabilities of all three armed services.",National Security,True
19,Nita Ambani inducted into International Olympic Committee as first Indian woman member,"Nita Ambani was inducted as a full member of the International Olympic Committee (IOC), becoming the first Indian woman ever to hold IOC membership. She had previously served as an IOC observer member. The induction was formalised at the IOC session in Paris during the 2024 Olympics.",Sports,True
70,,"India enacted the Right to Health Act, a landmark legislation guaranteeing universal access to essential medicines, diagnostics, and emergency care at all government healthcare facilities free of cost. The act also regulates private hospital billing practices and mandates standard treatment protocols.",,True
57,Kerala model midday meal programme wins UN Food Systems Award,"Kerala's expanded midday meal programme, which provides nutritionally balanced hot meals including protein-rich options to 42 lakh school children, received the United Nations Food Systems Champion Award. The programme is credited with reducing school dropout rates by 38% in tribal districts.",Government,True
